@relation 'World Happiness Report 2024-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-R3-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute 'Life Ladder' numeric
@attribute 'Log GDP per capita' numeric
@attribute 'Social support' numeric
@attribute 'Healthy life expectancy at birth' numeric
@attribute 'Freedom to make life choices' numeric
@attribute Generosity numeric
@attribute 'Perceptions of corruption' numeric
@attribute 'Positive affect' numeric
@attribute 'Negative affect' numeric
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
0.46403,0.413076,0.366762,0.723041,0.73303,0.243851,0.523887,0.535853,0.356637,no,no
0.476747,0.419828,0.273086,0.72746,0.655009,0.311057,0.608968,0.593039,0.565822,no,no
0.435767,0.425298,0.181084,0.73188,0.641763,0.294806,0.574236,0.55631,0.580707,no,no
0.465824,0.430517,0.223903,0.736299,0.736315,0.256903,0.569686,0.559298,0.55534,no,no
0.636396,0.580651,0.778173,0.817914,0.768818,0.662582,0.809248,0.687937,0.216471,no,no
0.542815,0.588126,0.859046,0.820566,0.800555,0.580854,0.648829,0.845399,0.388132,no,no
0.564121,0.597064,0.815882,0.823217,0.79511,0.589823,0.631549,0.772451,0.368017,no,no
0.607438,0.511304,0.798369,0.798173,0.715881,0.280122,0.800869,0.750969,0.561561,no,no
0.645201,0.515717,0.748122,0.80112,0.72883,0.323303,0.824611,0.804383,0.490549,no,no
0.596142,0.522607,0.733798,0.804066,0.657067,0.234413,0.808185,0.772799,0.497453,no,no
0.713053,0.525191,0.79447,0.807012,0.727513,0.287956,0.767243,0.799223,0.465757,no,no
0.667791,0.529009,0.762677,0.809959,0.627632,0.256833,0.787008,0.768173,0.429138,no,no
0.667532,0.534531,0.77532,0.812905,0.731127,0.285023,0.832902,0.72347,0.448255,no,no
0.703155,0.539964,0.727945,0.815851,0.837757,0.308478,0.848562,0.738564,0.52447,no,no
0.665833,0.548007,0.756819,0.818798,0.816025,0.258481,0.819193,0.769369,0.526756,no,no
0.680284,0.554046,0.781329,0.821744,0.862436,0.340004,0.840286,0.837413,0.507327,no,no
0.675762,0.559201,0.791026,0.824691,0.865827,0.294459,0.872477,0.808533,0.498777,no,no
0.666173,0.563476,0.747888,0.8269,0.863348,0.277912,0.86216,0.790184,0.472259,no,no
0.648486,0.567687,0.725103,0.82911,0.866196,0.207093,0.827004,0.675934,0.564775,no,no
0.687844,0.571996,0.788989,0.83132,0.838903,0.233599,0.791967,0.747256,0.490039,no,no
0.652006,0.573191,0.732532,0.83353,0.862769,0.240569,0.867041,0.740656,0.541272,no,no
0.634936,0.556142,0.759549,0.83574,0.857116,0.273296,0.878631,0.780385,0.480908,no,no
0.636326,0.56384,0.750327,0.837949,0.8369,0.270864,0.819528,0.769286,0.515798,no,no
0.689796,0.566822,0.784182,0.840159,0.841233,0.24711,0.849136,0.793422,0.5515,no,no
0.679555,0.568927,0.734821,0.842369,0.796986,0.270447,0.887469,0.815255,0.511981,no,no
0.537061,0.595852,0.707901,0.888038,0.149647,0.332426,0.939719,0.55526,0.343697,no,no
0.546511,0.60488,0.667893,0.888038,0.038623,0.300316,0.97412,0.465403,0.494437,no,no
0.502733,0.609102,0.71732,0.888038,0.180565,0.201161,0.947002,0.405307,0.525006,no,no
0.551141,0.61358,0.654734,0.888038,0.138742,0.290434,0.938305,0.528124,0.390764,no,no
0.518262,0.615254,0.725364,0.888038,0.252998,0.311477,0.968511,0.411119,0.410875,no,no
0.570286,0.621565,0.709514,0.888038,0.214091,0.363965,0.985824,0.440492,0.372723,no,no
0.588881,0.625535,0.736945,0.888038,0.242624,0.547083,0.992684,0.442669,0.288554,no,no
0.569323,0.634548,0.563156,0.888038,0.531654,0.270768,0.975295,0.435586,0.327243,no,no
0.578775,0.641749,0.763362,0.888774,0.535295,0.452054,0.972614,0.549304,0.355942,no,no
0.565275,0.648866,0.720668,0.889511,0.443266,0.410685,0.936785,0.493477,0.302336,no,no
0.683639,0.656872,0.800489,0.890248,0.568845,0.440658,0.925725,0.551735,0.312981,no,no
0.702655,0.663398,0.849562,0.890984,0.651707,0.397868,0.978517,0.519058,0.249788,no,no
0.628489,0.660479,0.882991,0.891721,0.676398,0.453747,0.929095,0.600234,0.390246,no,no
0.663071,0.67442,0.832189,0.892457,0.701142,0.590223,0.934223,0.603386,0.357987,no,no
0.681361,0.682508,0.82693,0.893194,0.679571,0.510185,0.947474,0.516046,0.325897,no,no
0.701625,0.688329,0.856998,0.893931,0.81775,0.558503,0.962475,0.56714,0.266921,no,no
0.513249,0.645296,0.862595,0.620507,0.786751,0.13378,0.725722,0.658294,0.229994,no,no
0.618891,0.653161,0.795241,0.633471,0.831675,0.166338,0.813254,0.706263,0.217333,no,no
0.337172,0.637346,0.839659,0.646435,0.789981,0.191424,0.821438,0.621623,0.14384,no,no
0.332259,0.644842,0.832287,0.652917,0.771873,0.088197,0.82373,0.664622,0.123897,no,no
0.527582,0.64144,0.801614,0.659399,0.75456,0.13722,0.8219,0.732304,0.142349,no,no
0.422554,0.655464,0.826415,0.665881,0.712212,0.184697,0.752733,0.698159,0.258959,no,no
0.408142,0.661344,0.831562,0.672363,0.743939,0.231562,0.746643,0.63484,0.261018,no,no
0.368183,0.650065,0.773835,0.678845,0.830872,0.223188,0.870282,0.705031,0.287353,no,no
0.329145,0.658076,0.711457,0.682896,0.82364,0.090094,0.73198,0.678543,0.271929,no,no
0.330027,0.66125,0.711399,0.686948,0.778207,0.093942,0.734374,0.614876,0.311192,no,no
0.323568,0.664603,0.746541,0.690999,0.778621,0.087999,0.814013,0.722445,0.296448,no,no
0.325011,0.666289,0.718523,0.69505,0.798336,0.102374,0.798333,0.689887,0.305514,no,no
0.319696,0.670536,0.687872,0.707204,0.675278,0.116534,0.839322,0.630715,0.328345,no,no
